丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[9]	А基[45]	А基[180]
102300	58.3	58.3	58.3	58.3	1	58.21◆	58.15◆	0
102500	58.2	58.2	58.2	58.2	1	58.20□	58.16◆	0
102600	58.1	58.1	58.1	58.1	2	58.18□	58.16□	0
102700	58.3	58.3	58.3	58.3	1	58.18	58.16	0
102800	58.1	58.1	58.1	58.1	3	58.17□	58.15□	0
102900	58.3	58.3	58.3	58.3	10	58.19◆	58.15□	0
103000	58.1	58.1	58.1	58.1	18	58.19	58.14□	0
103100	58.1	58.1	58.1	58.1	2	58.18□	58.13□	0
103200	58.1	58.1	58.1	58.1	5	58.18	58.13□	0
103300	58.2	58.2	58.2	58.2	1	58.17□	58.13□	0
103500	58.1	58.1	58.1	58.1	4	58.16□	58.13□	0
103600	58.1	58.1	58.1	58.1	4	58.16	58.12□	0
103700	58.2	58.2	58.2	58.2	2	58.15□	58.13◆	0
103800	58.1	58.1	58.1	58.1	14	58.15	58.13	0
103900	58	58	58	58	6	58.11□	58.13	0
104000	58.1	58.1	58.1	58.1	1	58.11	58.13◆	0
104100	58	58.1	58	58.1	10	58.11	58.13◆	0
104200	58.1	58.1	58	58.1	11	58.11	58.13◆	0
104300	58.1	58.1	58.1	58.1	3	58.10□	58.13	0
104500	58.2	58.2	58.1	58.2	9	58.11◆	58.13◆	0
104600	58.1	58.1	58.1	58.1	3	58.11	58.14◆	0
104700	58.1	58.1	58.1	58.1	7	58.10□	58.14◆	0
104800	58.1	58.2	58.1	58.2	9	58.11◆	58.14◆	0
104900	58.3	58.4	58.3	58.4	47	58.16◆	58.15◆	0
105000	58.5	58.7	58.5	58.7	89	58.22◆	58.17◆	0
105100	58.9	59	58.9	59	151	58.32◆	58.19◆	0
105200	59	59.1	59	59	86	58.42◆	58.20◆	0
105300	58.9	59	58.9	58.9	69	58.51◆	58.22◆	0
105400	59	59	58.9	59	26	58.60◆	58.24◆	0
105500	58.9	58.9	58.8	58.9	19	58.69◆	58.26◆	0
105600	58.9	58.9	58.9	58.9	8	58.78◆	58.28◆	0
105700	58.8	58.8	58.8	58.8	19	58.85◆	58.29◆	0
105800	58.8	58.9	58.8	58.9	13	58.90◆	58.31◆	0
105900	58.8	58.9	58.8	58.9	3	58.92◆	58.33◆	0
110000	58.9	58.9	58.9	58.9	1	58.91□	58.35◆	0
110100	58.9	58.9	58.9	58.9	14	58.90□	58.36◆	0
110200	58.9	58.9	58.9	58.9	11	58.9	58.38◆	0
110300	58.8	58.8	58.8	58.8	6	58.88□	58.39◆	0
110400	58.8	58.8	58.8	58.8	8	58.87□	58.40◆	0
110500	58.6	58.6	58.6	58.6	7	58.83□	58.41◆	0
110600	58.5	58.5	58.5	58.5	4	58.80□	58.41◆	0
110700	58.5	58.5	58.5	58.5	15	58.76□	58.42◆	0
110800	58.6	58.6	58.5	58.6	9	58.72□	58.43◆	0
110900	58.7	58.8	58.7	58.8	21	58.71□	58.45◆	58.19
111000	58.8	58.8	58.8	58.8	8	58.70□	58.46◆	58.20◆
111100	58.8	58.8	58.8	58.8	10	58.69□	58.47◆	58.20◆
111200	58.5	58.8	58.5	58.8	4	58.69	58.49◆	58.21◆
111300	58.8	58.8	58.8	58.8	1	58.69	58.50◆	58.21◆
111400	58.8	58.8	58.8	58.8	14	58.71◆	58.51◆	58.21◆
111500	58.6	58.6	58.6	58.6	1	58.72◆	58.53◆	58.22◆
111600	58.8	58.8	58.8	58.8	2	58.76◆	58.54◆	58.22◆
111700	58.7	58.7	58.7	58.7	2	58.77◆	58.55◆	58.22◆
111800	58.6	58.6	58.6	58.6	10	58.75□	58.56◆	58.23◆
111900	58.7	58.7	58.6	58.6	6	58.72□	58.57◆	58.23◆
