丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[9]	А基[45]	А基[180]
133000	67.3	67.5	67.1	67.1	603	67.46□	67.99◆	0
93000	67.6	67.6	65	65.7	1046	67.20□	67.92□	0
100000	65.5	65.5	63.1	64.2	1926	66.83□	67.83□	0
103000	64.2	64.4	62.6	63.6	1218	66.38□	67.72□	0
110000	63.6	64.2	63.5	63.6	236	65.95□	67.60□	0
113000	63.6	63.6	63	63.4	236	65.49□	67.48□	0
120000	63.5	63.8	63.3	63.6	186	65.07□	67.37□	0
123000	63.6	63.6	63.1	63.3	284	64.63□	67.25□	0
130000	63.2	63.5	63	63.4	330	64.21□	67.13□	0
133000	63.4	63.5	63	63.1	736	63.77□	67.02□	0
93000	62.5	65.5	62.3	64.9	1856	63.68□	66.92□	0
100000	64.9	65	64.4	64.7	555	63.73◆	66.82□	0
103000	64.7	64.7	64.3	64.3	199	63.81◆	66.72□	0
110000	64.4	64.8	64.4	64.7	105	63.93◆	66.63□	0
113000	64.5	64.6	64.2	64.5	105	64.06◆	66.54□	0
120000	64.5	64.8	64.2	64.7	145	64.18◆	66.46□	0
123000	64.7	65	64.6	64.6	173	64.32◆	66.37□	0
130000	64.7	64.9	64.5	64.6	144	64.46◆	66.27□	0
133000	64.8	65.1	64.5	65.1	372	64.68◆	66.19□	0
93000	67.3	68.3	66	68	1859	65.02◆	66.19	0
100000	67.9	68.2	67.4	67.8	569	65.37◆	66.17□	0
103000	67.8	67.8	67.5	67.5	251	65.72◆	66.15□	0
110000	67.5	67.7	67.5	67.5	163	66.03◆	66.14□	0
113000	67.7	67.7	67.4	67.5	136	66.37◆	66.14	0
120000	67.5	67.7	67.4	67.5	191	66.68◆	66.15◆	0
123000	67.5	67.6	66.8	66.9	343	66.93◆	66.15□	0
130000	66.9	67.4	66.9	67	183	67.20◆	66.15◆	0
133000	67.1	67.4	67	67.2	352	67.43◆	66.16◆	0
93000	66	67	64	65	1480	67.10□	66.12□	0
100000	64.8	65.8	64.8	65.5	499	66.85□	66.09□	0
103000	65.6	65.8	65	65.5	289	66.62□	66.04□	0
110000	65.5	65.5	65.1	65.4	136	66.39□	65.99□	0
113000	65.4	65.5	65.1	65.2	110	66.13□	65.93□	0
120000	65.2	65.5	65.2	65.5	169	65.91□	65.89□	0
123000	65.6	65.6	65.3	65.4	107	65.75□	65.85□	0
130000	65.4	65.5	65.2	65.4	198	65.57□	65.80□	0
133000	65.3	65.3	64.5	64.7	794	65.29□	65.73□	0
93000	65.2	67	65.2	66.6	1251	65.47◆	65.69□	0
100000	66.7	67.5	66.6	67	694	65.63◆	65.68□	0
103000	67	67	66.3	66.3	295	65.72◆	65.65□	0
110000	66.4	66.4	65.9	66	360	65.79◆	65.62□	0
113000	66	66.1	65	65.1	489	65.78□	65.57□	0
120000	65.1	65.8	65.1	65.5	164	65.78	65.52□	0
123000	65.5	65.7	65.2	65.6	159	65.80◆	65.49□	0
130000	65.5	65.6	65.2	65.5	174	65.81◆	65.45□	0
133000	65.6	65.8	65.3	65.3	583	65.88◆	65.41□	0
93000	66	66	64.5	64.5	764	65.65□	65.38□	0
100000	64.5	64.5	63.7	64.3	521	65.35□	65.39◆	0
103000	64.3	64.4	63.7	64.1	317	65.10□	65.40◆	0
110000	64.1	64.3	64	64.3	133	64.91□	65.41◆	0
113000	64.3	64.5	64.2	64.2	158	64.81□	65.43◆	0
120000	64.3	64.3	64	64.1	132	64.66□	65.44◆	0
123000	64.1	64.3	64.1	64.1	125	64.49□	65.46◆	0
130000	64.1	64.2	63.8	63.8	361	64.30□	65.47◆	0
133000	63.8	63.9	63	63.7	1012	64.12□	65.48◆	0
93000	64.2	65.3	64	64	836	64.07□	65.46□	0
100000	64	64.4	64	64.3	247	64.07	65.45□	0
103000	64.3	64.4	64	64	164	64.06□	65.45□	0
110000	64.1	64.2	64	64.2	95	64.05□	65.43□	0
113000	64	64.1	63.7	63.7	244	63.99□	65.42□	0
120000	63.8	64	63.7	63.7	133	63.95□	65.39□	0
123000	63.7	63.7	63.3	63.4	192	63.87□	65.37□	0
130000	63.3	63.4	62.6	63.2	504	63.80□	65.34□	0
133000	63.2	63.3	62.7	63.3	494	63.76□	65.30□	0
93000	64	64.7	63.6	64.1	543	63.77◆	65.21□	0
100000	64	64.2	63.4	63.9	213	63.72□	65.12□	0
103000	64.1	64.1	63.5	63.5	111	63.67□	65.03□	0
110000	63.5	63.5	62.9	63.3	341	63.57□	64.94□	0
113000	63.2	63.5	63	63.5	125	63.55□	64.85□	0
120000	63.2	63.3	63	63	95	63.47□	64.75□	0
123000	63	63.3	63	63	140	63.42□	64.67□	0
130000	63	63	62.6	63	254	63.40□	64.58□	0
133000	63	63.4	62.8	63	430	63.37□	64.48□	0
93000	63.5	63.8	63	63.1	401	63.26□	64.44□	0
100000	63	63.2	58.6	59.6	1448	62.78□	64.31□	0
103000	59.5	59.5	58.6	58.8	1887	62.26□	64.16□	0
110000	58.8	59.4	58.7	59.3	286	61.81□	64.03□	0
113000	59.4	59.5	58.8	58.8	241	61.29□	63.88□	0
120000	58.8	59	58.8	59	198	60.85□	63.74□	65.77
123000	59.1	59.3	58.8	59.1	277	60.41□	63.60□	65.75□
130000	59.1	59.2	58.7	58.8	323	59.95□	63.45□	65.73□
133000	58.9	59.3	58.8	59.1	403	59.51□	63.33□	65.71□
93000	57.3	59.5	57	58.5	1067	59.00□	63.15□	65.68□
100000	58.6	59	58.2	58.2	238	58.85□	62.95□	65.65□
103000	58.1	58.4	57.3	58.4	595	58.80□	62.78□	65.62□
110000	58.3	58.4	58	58.3	108	58.69□	62.61□	65.60□
113000	58.3	58.7	58.3	58.6	172	58.67□	62.46□	65.57□
120000	58.6	60.6	58.6	60.1	506	58.79◆	62.34□	65.55□
123000	60	60.3	59.4	60	303	58.89◆	62.22□	65.53□
130000	60	60.5	59.8	60.4	294	59.07◆	62.10□	65.51□
133000	60.5	61.4	60.4	61.4	717	59.32◆	62.02□	65.50□
93000	61.4	62.3	60.5	61.5	798	59.66◆	61.95□	65.49□
100000	61.5	62.5	61.2	61.8	439	60.06◆	61.89□	65.48□
103000	61.8	62.2	61.8	62	109	60.46◆	61.85□	65.47□
110000	62	62	61.6	61.7	178	60.83◆	61.79□	65.46□
113000	61.9	62	61.7	61.8	57	61.19◆	61.74□	65.45□
120000	61.8	61.9	60.8	60.9	247	61.28◆	61.67□	65.44□
123000	60.9	61.1	60.7	60.9	182	61.38◆	61.59□	65.43□
130000	60.9	61.2	60.8	61	113	61.45◆	61.53□	65.42□
133000	61	61	60.5	60.5	485	61.35□	61.46□	65.41□
93000	59.6	61.3	59.6	60.6	577	61.25□	61.39□	65.39□
100000	60.5	61	60.5	60.8	124	61.13□	61.31□	65.37□
103000	60.7	60.7	60.2	60.4	191	60.96□	61.23□	65.35□
110000	60.4	60.4	59.9	60	390	60.77□	61.13□	65.33□
113000	60	60.3	59.5	59.7	350	60.53□	61.05□	65.31□
120000	59.7	59.9	59.5	59.7	107	60.40□	60.96□	65.29□
123000	59.9	60	59.5	59.6	173	60.26□	60.87□	65.27□
130000	59.5	59.8	59.5	59.7	97	60.11□	60.79□	65.25□
133000	59.6	59.8	59.1	59.1	587	59.96□	60.70□	65.22□
93000	59.1	59.9	59.1	59.3	437	59.81□	60.59□	65.17□
100000	59.4	59.4	58.5	59	615	59.61□	60.49□	65.12□
103000	59	59.3	58.9	59	226	59.46□	60.39□	65.07□
110000	59.1	59.3	59	59.2	146	59.37□	60.29□	65.02□
113000	59.3	59.4	59	59.2	167	59.31□	60.20□	64.97□
120000	59.2	59.3	59.1	59.1	69	59.25□	60.11□	64.92□
123000	59.2	59.2	58.8	59	200	59.18□	60.02□	64.87□
130000	58.8	59	58.7	58.8	174	59.08□	59.93□	64.82□
133000	58.9	58.9	58.6	58.9	619	59.06□	59.84□	64.76□
93000	60	62	59.5	61.5	1649	59.30◆	59.80□	64.72□
100000	61.5	61.7	61.1	61.1	337	59.53◆	59.84◆	64.67□
103000	61.3	61.4	60.8	61.1	273	59.77◆	59.89◆	64.61□
110000	61	61	60.7	60.7	103	59.93◆	59.92◆	64.55□
113000	61	61	60.5	60.6	155	60.09◆	59.96◆	64.49□
120000	60.6	60.7	60.3	60.6	119	60.26◆	59.99◆	64.42□
123000	60.8	60.8	60.5	60.6	118	60.43◆	60.03◆	64.37□
130000	60.6	60.7	60.5	60.5	130	60.62◆	60.07◆	64.32□
133000	60.5	60.7	60.2	60.7	368	60.82◆	60.10◆	64.28□
93000	61.3	61.8	60.7	61.4	703	60.81□	60.17◆	64.24□
100000	61.4	61.5	60.8	60.8	287	60.78□	60.22◆	64.21□
103000	60.8	61	60.7	60.9	131	60.76□	60.28◆	64.17□
110000	60.9	60.9	60.3	60.3	176	60.71□	60.32◆	64.13□
113000	60.4	60.7	60.3	60.5	107	60.70□	60.37◆	64.09□
120000	60.5	60.6	60.4	60.6	70	60.7	60.38◆	64.06□
123000	60.6	60.7	60.4	60.5	82	60.69□	60.39◆	64.02□
130000	60.5	60.7	60.4	60.7	105	60.71◆	60.39◆	63.98□
133000	60.7	60.8	60.4	60.4	422	60.68□	60.37□	63.95□
93000	61.1	61.1	59.5	59.5	484	60.47□	60.33□	63.90□
100000	59.6	60	59.6	59.6	295	60.33□	60.28□	63.85□
103000	59.6	59.9	59.6	59.6	165	60.19□	60.23□	63.80□
110000	59.6	59.8	59.5	59.5	203	60.10□	60.18□	63.74□
113000	59.5	59.7	59.1	59.6	306	60.00□	60.13□	63.69□
120000	59.6	59.8	59.3	59.8	96	59.91□	60.10□	63.64□
123000	59.7	59.7	59.4	59.4	125	59.79□	60.07□	63.59□
130000	59.5	59.5	59.3	59.4	183	59.65□	60.03□	63.54□
133000	59.4	59.6	59.3	59.5	547	59.55□	60.01□	63.49□
93000	60	60.5	59.5	59.8	550	59.58◆	59.99□	63.44□
100000	59.7	59.7	59.1	59.2	250	59.53□	59.96□	63.38□
103000	59.2	59.2	58.3	59	518	59.47□	59.93□	63.33□
110000	59	59.1	58.7	58.8	117	59.39□	59.90□	63.27□
113000	58.8	59	58.6	59	82	59.32□	59.89□	63.22□
120000	58.9	59	58.8	58.9	65	59.22□	59.87□	63.17□
123000	59	59	58.8	59	57	59.18□	59.85□	63.12□
130000	59	59.1	58.8	59	161	59.13□	59.84□	63.06□
133000	58.9	58.9	58.5	58.5	512	59.02□	59.83□	63.00□
93000	58.5	59	57.6	57.8	691	58.80□	59.79□	62.95□
100000	57.8	57.9	56	56.7	1220	58.52□	59.74□	62.88□
103000	56.8	56.9	56.1	56.2	409	58.21□	59.68□	62.81□
110000	56.2	56.2	54.6	55.5	1428	57.85□	59.60□	62.74□
113000	55.5	56.1	55.5	55.8	290	57.49□	59.52□	62.68□
120000	55.7	55.7	55.3	55.7	180	57.13□	59.45□	62.62□
123000	55.7	55.8	55.3	55.3	247	56.72□	59.36□	62.55□
130000	55.3	55.5	54.8	55.4	557	56.32□	59.29□	62.49□
133000	55.4	55.5	55	55.3	517	55.97□	59.21□	62.42□
93000	55.3	55.8	54	54.3	879	55.58□	59.05□	62.35□
100000	54.4	54.4	52.6	52.9	992	55.16□	58.87□	62.28□
103000	52.9	52.9	52.2	52.6	486	54.76□	58.68□	62.19□
110000	52.6	52.8	52.2	52.3	256	54.40□	58.49□	62.10□
113000	52.3	52.5	51.8	51.9	645	53.97□	58.30□	62.02□
120000	51.9	52	51.6	51.6	343	53.51□	58.10□	61.93□
123000	51.6	52	51.6	51.9	272	53.13□	57.90□	61.84□
130000	51.9	54.3	51.8	54.3	467	53.01□	57.77□	61.77□
133000	54.2	54.2	53.3	54	493	52.87□	57.62□	61.69□
93000	54.5	54.8	53.2	54.5	750	52.89◆	57.46□	61.62□
100000	54.5	55.6	54.4	55.5	862	53.18◆	57.35□	61.55□
103000	55.4	55.4	54.7	55.1	461	53.46◆	57.22□	61.48□
110000	55	55	54.8	54.9	146	53.75◆	57.10□	61.41□
113000	54.9	55	54.6	54.7	163	54.06◆	56.97□	61.34□
120000	54.8	54.8	54.5	54.5	85	54.38◆	56.83□	61.27□
123000	54.6	54.8	54.6	54.7	72	54.69◆	56.70□	61.20□
130000	54.8	54.8	54.6	54.8	101	54.75◆	56.57□	61.13□
133000	54.7	54.8	54.2	54.3	365	54.78◆	56.44□	61.06□
93000	54.3	58.1	54	58.1	2410	55.18◆	56.41□	61.02□
100000	58.1	58.1	58.1	58.1	243	55.47◆	56.37□	60.98□
103000	58.1	58.1	58.1	58.1	65	55.80◆	56.34□	60.95□
110000	58.1	58.1	58.1	58.1	21	56.16◆	56.31□	60.92□
113000	58.1	58.1	58.1	58.1	14	56.53◆	56.27□	60.89□
120000	58.1	58.1	58.1	58.1	6	56.93◆	56.24□	60.86□
123000	58.1	58.1	58.1	58.1	12	57.31◆	56.21□	60.83□
130000	58.1	58.1	58.1	58.1	15	57.68◆	56.18□	60.80□
133000	58.1	58.1	58.1	58.1	24	58.10◆	56.15□	60.78□
93000	59.1	59.3	57.1	58.4	2550	58.13◆	56.12□	60.74□
100000	58.4	58.4	57.9	58	360	58.12□	56.09□	60.70□
103000	58	58.3	57.9	58.3	214	58.15◆	56.07□	60.67□
110000	58.1	59.1	58	58.9	639	58.23◆	56.08◆	60.64□
113000	58.9	58.9	58.5	58.5	200	58.28◆	56.07□	60.60□
120000	58.5	58.5	58	58.2	158	58.29◆	56.05□	60.57□
123000	58.3	58.3	58	58.1	220	58.29	56.03□	60.53□
130000	58.1	58.1	57.5	57.8	228	58.26□	56.00□	60.49□
133000	57.8	57.8	57.5	57.5	347	58.19□	55.98□	60.45□
